year,EdadDesde,EdadHasta,CantidadPuestosVacantes,Confidencial,AreaEstudio1,IdIdioma1,isco_2dig_pred,Sexo,JornadaLaboral,NombreNivelJerarquico,num_words,highest_GradoEstudio,section_ciiu,cogn_core,cogn_soph,cogn_comp,cogn_software,cogn_mlai,cogn_finance,cogn_writing,cogn_manage,social_character,social_social,social_peoplemanage,social_customer,manual_fingerdexterity,manual_coordination,manual_physical,Sueldo
2015.0,22.0,40.0,3,1.0,,Inglés,52.0,,,Empleado,115.0,,J - Information and communication,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,31394.412958
2016.0,22.0,40.0,3,1.0,,Inglés,52.0,,,Empleado,154.0,,J - Information and communication,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28634.240156
2011.0,18.0,65.0,30,1.0,,,93.0,,,,74.0,,C -Manufacturing,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,22451.171457775003
2012.0,18.0,40.0,8,0.0,,,25.0,,,,109.0,,J - Information and communication,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68796.150218
2013.0,23.0,36.0,1,1.0,,,41.0,,,Empleado,14.0,,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,37143.658802
2016.0,23.0,45.0,1,0.0,,Ruso,24.0,,Completa,Empleado,118.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37056.075496
2021.0,18.0,38.0,1,1.0,Abogacía,Inglés,26.0,Male,Completa,Independiente,34.0,University degree,"M - Professional, scientific and technical activities",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,38117.625876000006
2020.0,18.0,70.0,1,1.0,Abogacía,Inglés,26.0,,Completa,Empleado,28.0,University degree,"M - Professional, scientific and technical activities",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57250.410624
2014.0,24.0,30.0,1,1.0,Abogacía,Inglés,26.0,,,Empleado,41.0,University degree,F - Construction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,63213.3430425
2023.0,18.0,70.0,1,1.0,Abogacía,Inglés,24.0,Male,Completa,Empleado,25.0,University degree,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,70500.0
